"Id","TenHocKy","NgayBatDau","NgayKetThuc"
1,Học Kỳ 1 - 2020,2020-01-01 00:00:00.000,2020-04-01 00:00:00.000
2,Học Kỳ 2 - 2020,2020-05-01 00:00:00.000,2020-09-01 00:00:00.000
3,Học Kỳ 3 - 2020,2020-10-01 00:00:00.000,2020-12-01 00:00:00.000
4,Học Kỳ 1 - 2021,2021-01-01 00:00:00.000,2021-04-01 00:00:00.000
5,Học Kỳ 2 - 2021,2021-05-01 00:00:00.000,2021-09-01 00:00:00.000
6,Học Kỳ 3 - 2021,2021-10-01 00:00:00.000,2021-12-01 00:00:00.000
7,Học Kỳ 1 - 2022,2022-01-01 00:00:00.000,2022-04-01 00:00:00.000
8,Học Kỳ 2 - 2022,2022-05-01 00:00:00.000,2022-09-01 00:00:00.000
9,Học Kỳ 3 - 2022,2022-10-01 00:00:00.000,2022-12-01 00:00:00.000
10,Học Kỳ 1 - 2023,2023-01-01 00:00:00.000,2023-04-01 00:00:00.000
11,Học Kỳ 2 - 2023,2023-05-01 00:00:00.000,2023-09-01 00:00:00.000
12,Học Kỳ 3 - 2023,2023-10-01 00:00:00.000,2023-12-01 00:00:00.000
13,Học Kỳ 1 - 2024,2024-01-01 00:00:00.000,2024-04-01 00:00:00.000
14,Học Kỳ 2 - 2024,2024-05-01 00:00:00.000,2024-09-01 00:00:00.000
15,Học Kỳ 3 - 2024,2024-10-01 00:00:00.000,2024-12-01 00:00:00.000
16,Học Kỳ 1 - 2025,2025-01-01 00:00:00.000,2025-04-01 00:00:00.000
17,Học Kỳ 2 - 2025,2025-05-01 00:00:00.000,2025-09-01 00:00:00.000
18,Học Kỳ 3 - 2025,2025-10-01 00:00:00.000,2025-12-01 00:00:00.000
